,X,Y,Area,Perimeter,Radius,Circularity,Convexity,Inertia,Graymean,Graystd,Repimean,Repistd,Gepimean,Gepistd,Bepimean,Bepistd,X_rawImage,Y_rawImage,plate_barcode,colony_index,Y_concat,pickStatus,pickIndexGroup,pickIndexPlate
10,258,786,52.0,27.656854152679443,4.242640687119285,0.854294575467492,0.9811320754716981,0.9954872210249177,163.73460388183594,0.033095620572566986,57.900569915771484,0.03141564130783081,54.44721221923828,0.02588881552219391,72.6080551147461,0.038867201656103134,408,936,H2M1,10,886,bad_pick,NA,NA
11,1224,806,2302.5,234.1248903274536,27.522644441879706,0.5278546223966852,0.8578614008941878,0.9999938275498073,134.53355407714844,0.0862497091293335,61.78620147705078,0.03723808005452156,57.31440353393555,0.03709894046187401,74.39501190185547,0.06875232607126236,1374,956,H2M1,11,906,pick,3,3
12,1455,770,62.0,29.656854152679443,5.0,0.8858320529002093,1.0,1.0,155.87603759765625,0.042529843747615814,60.69286346435547,0.04287567362189293,56.21278762817383,0.037770554423332214,75.20596313476562,0.05464589595794678,1605,920,H2M1,12,870,not_pick,NA,NA
13,1083,784,1724.5,158.81118214130402,23.653693312335644,0.8592329156304828,0.9682762492981472,0.9999918856898454,130.77691650390625,0.12068741768598557,64.65291595458984,0.036547429859638214,60.27456283569336,0.03955356031656265,83.23609924316406,0.10656473785638809,1233,934,H2M1,13,884,not_pick,NA,NA
14,1382,771,1978.0,165.8822501897812,25.298221281347036,0.9033089545235806,0.9860418743768694,0.9999937026187398,116.21186828613281,0.21508483588695526,69.22213745117188,0.08944273740053177,63.58030319213867,0.07842964679002762,96.92560577392578,0.22739091515541077,1532,921,H2M1,14,871,not_pick,NA,NA
15,1175,756,1487.0,144.5685420036316,22.135943621178654,0.894073515577414,0.9831404958677686,0.9999943362314869,121.55859375,0.19226102530956268,68.18984985351562,0.06388219445943832,63.04719161987305,0.06375766545534134,91.46113586425781,0.17504926025867462,1325,906,H2M1,15,856,pick,4,4
16,933,760,4559.0,275.137083530426,38.600518131237564,0.7568001289352688,0.9584778723851571,0.9999969100760744,121.12898254394531,0.15791435539722443,66.49429321289062,0.04596896469593048,61.725284576416016,0.05547308176755905,83.39435577392578,0.15777741372585297,1083,910,H2M1,16,860,not_pick,NA,NA
17,612,737,2233.5,178.6101711988449,26.92582403567252,0.8797989662216432,0.9798201359947357,0.9999649022962224,116.54862976074219,0.23846784234046936,69.50642395019531,0.08500142395496368,63.082645416259766,0.07857764512300491,96.96592712402344,0.2343629151582718,762,887,H2M1,17,837,not_pick,NA,NA
18,1294,735,3614.5,230.75230646133423,34.19063886712213,0.8530333130613129,0.9730784762417553,0.9999987887541445,115.32257843017578,0.17678125202655792,68.02133178710938,0.05395740270614624,62.71426010131836,0.058522213250398636,97.42691040039062,0.20117631554603577,1444,885,H2M1,18,835,not_pick,NA,NA
19,1203,715,1131.0,142.9116871356964,18.601075237738275,0.6958842006084749,0.9409317803660566,0.999988042420084,112.00212860107422,0.240560382604599,70.05348205566406,0.06585915386676788,65.80329132080078,0.07350990921258926,106.1611328125,0.2435181438922882,1353,865,H2M1,19,815,not_pick,NA,NA
20,1229,720,1108.5,141.98275482654572,19.222378386984943,0.6909941407280831,0.9374207188160677,0.9999898786295047,112.57377624511719,0.23876549303531647,69.45023345947266,0.06618248671293259,64.1615219116211,0.0735434964299202,95.7861099243164,0.23080886900424957,1379,870,H2M1,20,820,not_pick,NA,NA
21,233,714,1722.0,155.88224959373474,23.53720459187964,0.8905323117810878,0.9834380354083381,0.99999575474424,121.09760284423828,0.22657883167266846,68.4451904296875,0.08492328226566315,62.81132125854492,0.08018605411052704,91.7552490234375,0.19754153490066528,383,864,H2M1,21,814,not_pick,NA,NA
22,772,686,1918.0,168.71067667007446,25.0,0.846785343051526,0.9660035255603122,0.9999955150078601,130.8068389892578,0.12987668812274933,63.44435119628906,0.045094382017850876,58.07490921020508,0.03888250142335892,80.8380126953125,0.11243008077144623,922,836,H2M1,22,786,not_pick,NA,NA
23,737,715,1134.0,130.56854104995728,18.601075237738275,0.8358836217193278,0.9577702702702703,0.9999902285549559,133.83998107910156,0.12464655935764313,63.04570007324219,0.04669300094246864,57.95037841796875,0.041900474578142166,81.59557342529297,0.12823887169361115,887,865,H2M1,23,815,not_pick,NA,NA
24,966,673,2040.0,197.19595777988434,25.495097567963924,0.6592407044998624,0.8969004176742141,0.9999970802124373,131.71031188964844,0.13791348040103912,63.4619140625,0.04325628653168678,57.89091110229492,0.04301934316754341,77.12281036376953,0.09064333140850067,1116,823,H2M1,24,773,pick,5,5
25,1204,662,1658.5,158.46803617477417,23.22711685435621,0.8299310021561749,0.9656477438136827,0.999155303845803,130.2436981201172,0.11427734047174454,65.45252990722656,0.038184940814971924,61.277400970458984,0.032563481479883194,86.4039535522461,0.0974062904715538,1354,812,H2M1,25,762,not_pick,NA,NA
26,392,665,3418.0,248.1665199995041,32.51147821449028,0.6974218362700403,0.9156174658451648,0.9999930254451789,133.15309143066406,0.11227031797170639,62.944766998291016,0.03648902103304863,57.94696807861328,0.03194304555654526,75.22908020019531,0.06058930605649948,542,815,H2M1,26,765,not_pick,NA,NA
27,567,660,3674.0,258.1665196418762,34.61923145934185,0.6927063613093701,0.9317778341364443,0.9999827594293437,130.52749633789062,0.12690779566764832,63.09495162963867,0.04782943055033684,58.17923355102539,0.04357122629880905,79.10562896728516,0.12483442574739456,717,810,H2M1,27,760,bad_pick,NA,NA
28,1290,634,1874.0,187.0538226366043,23.377278303550582,0.673048366915921,0.8806390977443609,0.9999871575139018,124.3504638671875,0.16071288287639618,63.519500732421875,0.04188045486807823,58.589263916015625,0.035982921719551086,79.87740325927734,0.08379477262496948,1440,784,H2M1,28,734,not_pick,NA,NA
29,1259,649,1009.5,127.15432798862457,18.35755975068582,0.784610098224611,0.957325746799431,0.9999841082572561,132.10848999023438,0.09378519654273987,64.10848236083984,0.03336552530527115,60.54881286621094,0.030049817636609077,84.6474380493164,0.11629165709018707,1409,799,H2M1,29,749,not_pick,NA,NA
30,255,617,1873.5,169.98275482654572,24.698178070456937,0.8148052802607101,0.9602767811378781,0.9999585346800096,131.21632385253906,0.13700836896896362,63.4181022644043,0.04358212649822235,59.30430221557617,0.03643132001161575,82.1636962890625,0.11585541069507599,405,767,H2M1,30,717,not_pick,NA,NA
